timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/09/09 09:19:30.773, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:19:35.775, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:19:40.776, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:19:45.777, 4 MiB, 46068 MiB, 0 %
2026/09/09 09:19:50.779, 4 MiB, 46068 MiB, 0 %
2026/09/09 09:19:55.821, 4 MiB, 46068 MiB, 0 %
2026/09/09 09:20:00.823, 4 MiB, 46068 MiB, 0 %
2026/09/09 09:20:05.824, 4 MiB, 46068 MiB, 0 %
2026/09/09 09:20:10.826, 4 MiB, 46068 MiB, 0 %
2026/09/09 09:20:15.827, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:20:20.828, 1 MiB, 46068 MiB, 11 %
2026/09/09 09:20:25.830, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:20:30.832, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:20:35.833, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:20:40.835, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:20:45.836, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:20:50.838, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:20:55.839, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:21:00.840, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:21:05.841, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:21:10.843, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:21:15.844, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:21:20.846, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:21:25.847, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:21:30.848, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:21:35.849, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:21:40.851, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:21:45.855, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:21:50.856, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:21:55.857, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:22:00.858, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:22:05.860, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:22:10.861, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:22:15.862, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:22:20.864, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:22:25.865, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:22:30.866, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:22:35.868, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:22:40.869, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:22:45.870, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:22:50.871, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:22:55.873, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:23:00.874, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:23:05.875, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:23:10.877, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:23:15.878, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:23:20.880, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:23:25.881, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:23:30.882, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:23:35.884, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:23:40.885, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:23:45.887, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:23:50.888, 1 MiB, 46068 MiB, 0 %
2026/09/09 09:23:55.889, 1 MiB, 46068 MiB, 0 %
